"Category","BEV","PHEV","H2","LPG","CNG","LNG"
"2008",,,,,,
"2009",,,,,,
"2010",,,,,,
"2011",568,,,,,
"2012",1023,109,,250,4,
"2013",2021,190,,895,14,
"2014",2832,612,,1994,107,
"2015",5243,1368,,4883,308,
"2016",5756,3131,,13749,1109,
"2017",9681,6583,,18728,2422,
"2018",15865,12295,1,37402,6452,
"2019",26197,19722,2,55994,11909,
"2020",43203,43481,9,58837,15783,
"2021",66085,81355,19,60784,16286,
"2022",95617,121285,23,77564,16911,
"2023",150282,180253,24,116684,16855,
"2024",181784,235506,118,165591,16787,
"2025",256980,322568,118,204278,16730,